user_id,value_all,value_delivery,value_ของหวาน,value_ชาบู,value_ปิ้งย่าง,value_สเต็ก,value_อาหารญี่ปุ่น,value_อาหารเกาหลี,value_อาหารไทย,value_เครื่องดื่ม,cluster,clusters
57,0,0,0,0,0,0,0,0,0,1,0,2
226,0,0,0,0,0,0,0,0,0,1,0,2
98,0,1,0,0,0,1,0,0,0,1,0,2
23,0,0,0,0,0,0,0,0,0,1,0,2
158,0,0,0,0,0,0,0,0,0,1,0,2
70,0,0,0,0,1,0,0,0,0,1,0,2
216,0,0,0,0,0,0,0,0,0,1,0,2
219,0,0,0,0,1,0,0,1,0,1,0,2
46,0,0,0,0,1,1,0,0,0,1,0,2
34,0,0,0,0,0,0,0,0,0,1,0,2
32,0,1,0,0,1,0,0,0,0,1,0,2
198,0,0,0,0,0,0,0,0,0,1,0,2
39,0,1,0,1,0,1,0,0,0,1,0,2
37,0,0,0,0,0,0,0,0,0,1,0,2
258,0,0,0,0,0,0,0,0,0,1,0,2
21,0,0,0,0,0,0,0,0,0,1,0,2
17,0,0,0,0,0,0,0,0,0,1,0,2
20,0,0,0,0,0,0,0,0,0,1,0,2
253,0,0,0,0,0,0,0,0,1,1,1,1
153,0,0,0,0,0,0,0,0,1,1,1,1
266,0,0,0,0,0,0,0,0,1,1,1,1
255,0,0,1,0,0,1,0,1,1,1,1,1
52,0,0,0,0,0,0,0,0,1,1,1,1
127,0,0,0,0,0,0,0,0,1,1,1,1
260,1,1,0,0,0,0,0,0,1,1,1,1
223,0,0,0,0,0,0,0,0,1,1,1,1
236,0,0,0,0,0,0,0,0,1,1,1,1
238,0,1,0,0,0,0,0,0,1,1,1,1
111,0,0,0,0,0,0,0,0,1,1,1,1
125,0,0,0,0,0,0,0,0,1,1,1,1
167,0,0,1,1,1,0,0,1,1,1,1,1
171,0,0,0,0,0,0,0,0,1,1,1,1
246,0,0,0,0,0,0,0,0,1,1,1,1
254,0,0,0,0,0,0,0,0,1,1,1,1
268,1,0,0,0,0,0,0,0,1,1,1,1
267,0,0,0,0,0,0,0,0,1,1,1,1
230,0,0,0,0,0,0,0,0,1,1,1,1
224,0,0,0,0,0,0,0,0,1,1,1,1
218,0,0,0,0,0,0,0,0,1,1,1,1
170,0,0,0,0,0,0,0,0,1,1,1,1
213,0,0,0,1,0,1,0,0,1,1,1,1
208,0,0,0,0,1,0,0,0,1,1,1,1
96,0,0,0,0,0,0,0,0,1,1,1,1
191,0,0,0,0,0,0,0,0,1,1,1,1
189,0,0,0,0,0,0,0,0,1,1,1,1
182,1,0,0,0,0,0,0,0,1,1,1,1
176,0,0,0,0,0,0,0,0,1,1,1,1
212,0,1,0,0,1,1,1,0,1,1,1,2
121,0,0,1,0,0,0,1,1,1,1,1,1
18,0,0,1,1,1,1,0,0,1,1,1,1
134,0,0,0,0,0,0,0,0,1,1,1,1
81,0,0,0,0,0,0,0,0,1,1,1,1
84,1,0,0,0,0,0,0,0,1,1,1,1
68,0,1,0,0,1,1,1,1,1,1,1,2
86,0,0,0,0,0,0,0,0,1,1,1,1
87,1,0,0,0,0,1,0,0,1,1,1,1
221,0,0,0,0,0,0,0,0,1,1,1,1
62,0,0,0,0,1,0,0,1,1,1,1,1
28,0,0,0,0,1,0,0,0,1,1,1,1
107,0,0,0,0,0,1,0,0,1,1,1,1
51,0,1,0,0,0,0,0,0,1,1,1,1
56,0,0,0,0,1,0,0,0,1,1,1,1
245,0,0,0,0,0,0,0,0,1,0,2,3
74,0,0,0,0,0,0,0,0,1,0,2,3
179,1,0,0,0,0,0,0,0,1,0,2,3
181,0,0,0,0,0,0,0,0,1,0,2,3
235,0,0,0,0,0,0,0,0,1,0,2,3
119,0,0,0,0,0,0,0,0,1,0,2,3
244,0,0,0,0,0,0,0,0,1,0,2,3
184,0,0,0,0,0,0,0,0,1,0,2,3
186,0,1,0,0,0,0,0,0,1,0,2,0
187,0,0,0,0,0,0,0,0,1,0,2,3
188,1,0,0,0,0,0,0,0,1,0,2,3
95,0,0,0,0,0,0,0,0,1,0,2,3
252,0,0,0,0,0,0,0,0,1,0,2,3
47,0,0,0,0,0,0,0,0,1,0,2,3
31,0,0,0,0,1,0,0,0,1,0,2,0
43,0,0,0,0,1,0,0,0,1,0,2,0
173,0,0,0,0,0,0,0,0,1,0,2,3
200,0,0,0,0,0,0,0,0,1,0,2,3
205,0,0,0,0,0,0,0,0,1,0,2,3
206,0,0,0,0,0,0,0,0,1,0,2,3
44,0,0,0,0,0,0,0,0,1,0,2,3
209,0,0,0,0,0,0,0,0,1,0,2,3
211,0,0,0,0,0,0,0,0,1,0,2,3
54,0,0,0,0,0,0,0,0,1,0,2,3
225,0,0,0,0,0,0,0,0,1,0,2,3
66,0,0,0,0,0,0,0,0,1,0,2,3
165,0,0,0,0,0,0,0,0,1,0,2,3
256,0,0,0,0,0,0,0,0,1,0,2,3
116,0,0,0,1,1,1,1,0,1,0,2,0
115,0,1,0,0,0,0,0,0,1,0,2,0
108,0,0,0,0,0,0,0,0,1,0,2,3
77,0,0,0,0,0,1,0,0,1,0,2,3
117,0,0,0,0,0,0,0,0,1,0,2,3
261,0,1,0,0,0,0,0,0,1,0,2,0
113,0,0,0,0,0,1,0,0,1,0,2,3
105,1,1,0,0,0,1,0,0,1,0,2,0
240,0,0,0,0,0,0,0,0,1,0,2,3
38,0,0,0,0,0,0,0,0,1,0,2,3
101,0,0,0,0,0,1,0,0,1,0,2,3
