user_id,value_all,value_delivery,value_ของหวาน,value_ชาบู,value_ปิ้งย่าง,value_สเต็ก,value_อาหารญี่ปุ่น,value_อาหารเกาหลี,value_อาหารไทย,value_เครื่องดื่ม,clusters,clusters2
18,0,0,1,1,1,1,0,0,1,1,7,0
37,0,0,0,0,0,0,0,0,0,1,2,0
19,1,1,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,0,1,2,0
38,0,0,0,0,0,0,0,0,1,0,6,0
39,0,1,0,1,0,1,0,0,0,1,1,0
17,0,0,0,0,0,0,0,0,0,1,2,0
21,0,0,0,0,0,0,0,0,0,1,2,0
41,0,0,0,0,1,0,0,0,1,0,6,0
28,0,0,0,0,1,0,0,0,1,1,8,0
29,0,0,0,0,1,0,0,0,0,0,5,2
31,0,0,0,0,1,0,0,0,1,0,6,0
32,0,1,0,0,1,0,0,0,0,1,1,0
34,0,0,0,0,0,0,0,0,0,1,4,3
43,0,0,0,0,1,0,0,0,1,0,6,0
44,0,0,0,0,0,0,0,0,1,0,0,4
46,0,0,0,0,1,1,0,0,0,1,3,0
47,0,0,0,0,0,0,0,0,1,0,0,4
51,0,1,0,0,0,0,0,0,1,1,2,0
54,0,0,0,0,0,0,0,0,1,0,0,4
56,0,0,0,0,1,0,0,0,1,1,8,0
58,0,0,0,0,1,0,0,0,0,0,5,2
62,0,0,0,0,1,0,0,1,1,1,8,0
65,0,0,0,0,1,0,0,0,0,0,5,2
66,0,0,0,0,0,0,0,0,1,0,0,4
67,0,0,0,0,1,0,0,0,0,0,5,2
68,0,1,0,0,1,1,1,1,1,1,3,0
70,0,0,0,0,1,0,0,0,0,1,8,0
73,0,1,0,0,0,0,0,0,0,0,1,0
74,0,0,0,0,0,0,0,0,1,0,0,4
75,0,0,0,0,1,0,0,0,0,0,5,2
76,0,1,0,0,0,0,0,0,0,0,1,0
78,0,0,0,0,1,0,0,0,0,0,5,2
81,0,0,0,0,0,0,0,0,1,1,2,0
82,0,0,0,0,0,0,0,0,1,0,0,4
84,1,0,0,0,0,0,0,0,1,1,2,0
85,0,0,0,0,0,0,0,0,1,0,0,4
86,0,0,0,0,0,0,0,0,1,1,2,0
87,1,0,0,0,0,1,0,0,1,1,2,0
221,0,0,0,0,0,0,0,0,1,1,2,0
91,0,1,0,0,0,0,0,0,0,0,1,0
93,0,0,0,0,0,1,0,0,1,0,6,0
98,0,1,0,0,0,1,0,0,0,1,1,0
101,0,0,0,0,0,1,0,0,1,0,6,0
104,0,1,0,0,0,0,0,0,0,0,1,0
105,1,1,0,0,0,1,0,0,1,0,6,0
107,0,0,0,0,0,1,0,0,1,1,2,0
115,0,1,0,0,0,0,0,0,1,0,1,0
116,0,0,0,1,1,1,1,0,1,0,3,0
119,0,0,0,0,0,0,0,0,1,0,0,4
120,0,0,0,0,0,0,0,0,1,0,0,4
121,0,0,1,0,0,0,1,1,1,1,7,0
96,0,0,0,0,0,0,0,0,1,1,2,0
108,0,0,0,0,0,0,0,0,1,0,0,4
77,0,0,0,0,0,1,0,0,1,0,6,0
117,0,0,0,0,0,0,0,0,1,0,0,4
111,0,0,0,0,0,0,0,0,1,1,2,0
112,0,0,0,0,0,1,0,0,0,0,6,0
113,0,0,0,0,0,1,0,0,1,0,6,0
238,0,1,0,0,0,0,0,0,1,1,2,0
240,0,0,0,0,0,0,0,0,1,0,0,4
226,0,0,0,0,0,0,0,0,0,1,4,3
236,0,0,0,0,0,0,0,0,1,1,2,0
223,0,0,0,0,0,0,0,0,1,1,2,0
127,0,0,0,0,0,0,0,0,1,1,2,0
125,0,0,0,0,0,0,0,0,1,1,2,0
126,0,0,0,0,0,0,0,0,1,0,0,4
140,0,1,0,0,0,0,0,0,1,0,1,0
133,0,0,0,0,0,0,0,0,1,0,0,4
134,0,0,0,0,0,0,0,0,1,1,2,0
23,0,0,0,0,0,0,0,0,0,1,4,3
136,0,0,0,0,0,0,0,0,1,0,0,4
52,0,0,0,0,0,0,0,0,1,1,2,0
144,0,0,0,0,0,0,0,0,1,0,0,4
114,0,0,0,0,0,0,0,0,1,0,0,4
255,0,0,1,0,0,1,0,1,1,1,7,0
148,0,0,0,0,0,0,0,0,1,0,0,4
142,0,1,0,0,0,0,0,0,0,0,1,0
149,0,0,0,0,0,0,0,0,1,0,0,4
152,0,0,0,0,0,0,0,0,1,0,0,4
266,0,0,0,0,0,0,0,0,1,1,2,0
153,0,0,0,0,0,0,0,0,1,1,2,0
158,0,0,0,0,0,0,0,0,0,1,4,3
160,0,0,0,0,0,0,0,0,1,0,0,4
162,0,0,0,0,0,0,0,0,1,0,0,4
165,0,0,0,0,0,0,0,0,1,0,0,4
167,0,0,1,1,1,0,0,1,1,1,7,0
170,0,0,0,0,0,0,0,0,1,1,2,0
97,0,0,0,0,0,0,0,0,1,0,0,4
171,0,0,0,0,0,0,0,0,1,1,2,0
173,0,0,0,0,0,0,0,0,1,0,0,4
176,0,0,0,0,0,0,0,0,1,1,2,0
179,1,0,0,0,0,0,0,0,1,0,6,0
181,0,0,0,0,0,0,0,0,1,0,0,4
182,1,0,0,0,0,0,0,0,1,1,2,0
184,0,0,0,0,0,0,0,0,1,0,0,4
186,0,1,0,0,0,0,0,0,1,0,1,0
187,0,0,0,0,0,0,0,0,1,0,0,4
188,1,0,0,0,0,0,0,0,1,0,6,0
95,0,0,0,0,0,0,0,0,1,0,0,4
189,0,0,0,0,0,0,0,0,1,1,2,0
191,0,0,0,0,0,0,0,0,1,1,2,0
193,0,0,0,0,1,0,0,0,0,0,5,2
196,1,0,0,0,0,0,0,0,0,0,1,0
198,0,0,0,0,0,0,0,0,0,1,4,3
200,0,0,0,0,0,0,0,0,1,0,0,4
205,0,0,0,0,0,0,0,0,1,0,0,4
206,0,0,0,0,0,0,0,0,1,0,0,4
208,0,0,0,0,1,0,0,0,1,1,8,0
209,0,0,0,0,0,0,0,0,1,0,0,4
211,0,0,0,0,0,0,0,0,1,0,0,4
212,0,1,0,0,1,1,1,0,1,1,3,0
213,0,0,0,1,0,1,0,0,1,1,2,0
216,0,0,0,0,0,0,0,0,0,1,4,3
219,0,0,0,0,1,0,0,1,0,1,8,0
218,0,0,0,0,0,0,0,0,1,1,2,0
224,0,0,0,0,0,0,0,0,1,1,2,0
225,0,0,0,0,0,0,0,0,1,0,0,4
231,0,1,0,0,0,0,0,0,0,0,1,0
235,0,0,0,0,0,0,0,0,1,0,0,4
241,0,0,0,0,0,0,0,0,1,0,0,4
243,0,0,0,0,0,0,0,0,1,0,0,4
244,0,0,0,0,0,0,0,0,1,0,0,4
245,0,0,0,0,0,0,0,0,1,0,0,4
267,0,0,0,0,0,0,0,0,1,1,2,0
268,1,0,0,0,0,0,0,0,1,1,2,0
246,0,0,0,0,0,0,0,0,1,1,2,0
251,1,0,0,0,0,0,0,0,0,0,1,0
252,0,0,0,0,0,0,0,0,1,0,0,4
253,0,0,0,0,0,0,0,0,1,1,2,0
254,0,0,0,0,0,0,0,0,1,1,2,0
256,0,0,0,0,0,0,0,0,1,0,0,4
242,0,0,0,0,0,0,0,0,1,0,0,4
250,0,0,0,0,0,0,0,0,1,0,0,4
230,0,0,0,0,0,0,0,0,1,1,2,0
260,1,1,0,0,0,0,0,0,1,1,2,0
258,0,0,0,0,0,0,0,0,0,1,4,3
261,0,1,0,0,0,0,0,0,1,0,1,0
262,1,0,0,0,1,1,1,1,1,0,3,1
57,0,0,0,0,0,0,0,0,0,1,4,3
