user_id,value_all,value_delivery,value_ของหวาน,value_ชาบู,value_ปิ้งย่าง,value_สเต็ก,value_อาหารญี่ปุ่น,value_อาหารเกาหลี,value_อาหารไทย,value_เครื่องดื่ม,cluster,clusters
205,0,0,0,0,0,0,0,0,1,0,4,3
206,0,0,0,0,0,0,0,0,1,0,4,3
250,0,0,0,0,0,0,0,0,1,0,4,3
242,0,0,0,0,0,0,0,0,1,0,4,3
209,0,0,0,0,0,0,0,0,1,0,4,3
211,0,0,0,0,0,0,0,0,1,0,4,3
241,0,0,0,0,0,0,0,0,1,0,4,3
38,0,0,0,0,0,0,0,0,1,0,4,3
252,0,0,0,0,0,0,0,0,1,0,4,3
245,0,0,0,0,0,0,0,0,1,0,4,3
256,0,0,0,0,0,0,0,0,1,0,4,3
235,0,0,0,0,0,0,0,0,1,0,4,3
85,0,0,0,0,0,0,0,0,1,0,4,3
188,1,0,0,0,0,0,0,0,1,0,4,3
82,0,0,0,0,0,0,0,0,1,0,4,3
93,0,0,0,0,0,1,0,0,1,0,4,3
101,0,0,0,0,0,1,0,0,1,0,4,3
119,0,0,0,0,0,0,0,0,1,0,4,3
120,0,0,0,0,0,0,0,0,1,0,4,3
74,0,0,0,0,0,0,0,0,1,0,4,3
108,0,0,0,0,0,0,0,0,1,0,4,3
77,0,0,0,0,0,1,0,0,1,0,4,3
117,0,0,0,0,0,0,0,0,1,0,4,3
113,0,0,0,0,0,1,0,0,1,0,4,3
240,0,0,0,0,0,0,0,0,1,0,4,3
66,0,0,0,0,0,0,0,0,1,0,4,3
126,0,0,0,0,0,0,0,0,1,0,4,3
133,0,0,0,0,0,0,0,0,1,0,4,3
136,0,0,0,0,0,0,0,0,1,0,4,3
144,0,0,0,0,0,0,0,0,1,0,4,3
114,0,0,0,0,0,0,0,0,1,0,4,3
187,0,0,0,0,0,0,0,0,1,0,4,3
184,0,0,0,0,0,0,0,0,1,0,4,3
181,0,0,0,0,0,0,0,0,1,0,4,3
179,1,0,0,0,0,0,0,0,1,0,4,3
44,0,0,0,0,0,0,0,0,1,0,4,3
173,0,0,0,0,0,0,0,0,1,0,4,3
95,0,0,0,0,0,0,0,0,1,0,4,3
97,0,0,0,0,0,0,0,0,1,0,4,3
162,0,0,0,0,0,0,0,0,1,0,4,3
160,0,0,0,0,0,0,0,0,1,0,4,3
54,0,0,0,0,0,0,0,0,1,0,4,3
152,0,0,0,0,0,0,0,0,1,0,4,3
149,0,0,0,0,0,0,0,0,1,0,4,3
148,0,0,0,0,0,0,0,0,1,0,4,3
165,0,0,0,0,0,0,0,0,1,0,4,3
47,0,0,0,0,0,0,0,0,1,0,4,3
