user_id,value_all,value_delivery,value_ของหวาน,value_ชาบู,value_ปิ้งย่าง,value_สเต็ก,value_อาหารญี่ปุ่น,value_อาหารเกาหลี,value_อาหารไทย,value_เครื่องดื่ม,cluster,clusters
18,0,0,1,1,1,1,0,0,1,1,0,1
153,0,0,0,0,0,0,0,0,1,1,0,1
266,0,0,0,0,0,0,0,0,1,1,0,1
255,0,0,1,0,0,1,0,1,1,1,0,1
52,0,0,0,0,0,0,0,0,1,1,0,1
125,0,0,0,0,0,0,0,0,1,1,0,1
127,0,0,0,0,0,0,0,0,1,1,0,1
167,0,0,1,1,1,0,0,1,1,1,0,1
223,0,0,0,0,0,0,0,0,1,1,0,1
238,0,1,0,0,0,0,0,0,1,1,0,1
111,0,0,0,0,0,0,0,0,1,1,0,1
96,0,0,0,0,0,0,0,0,1,1,0,1
121,0,0,1,0,0,0,1,1,1,1,0,1
107,0,0,0,0,0,1,0,0,1,1,0,1
221,0,0,0,0,0,0,0,0,1,1,0,1
236,0,0,0,0,0,0,0,0,1,1,0,1
87,1,0,0,0,0,1,0,0,1,1,0,1
170,0,0,0,0,0,0,0,0,1,1,0,1
176,0,0,0,0,0,0,0,0,1,1,0,1
260,1,1,0,0,0,0,0,0,1,1,0,1
230,0,0,0,0,0,0,0,0,1,1,0,1
254,0,0,0,0,0,0,0,0,1,1,0,1
253,0,0,0,0,0,0,0,0,1,1,0,1
246,0,0,0,0,0,0,0,0,1,1,0,1
268,1,0,0,0,0,0,0,0,1,1,0,1
171,0,0,0,0,0,0,0,0,1,1,0,1
267,0,0,0,0,0,0,0,0,1,1,0,1
218,0,0,0,0,0,0,0,0,1,1,0,1
213,0,0,0,1,0,1,0,0,1,1,0,1
208,0,0,0,0,1,0,0,0,1,1,0,1
191,0,0,0,0,0,0,0,0,1,1,0,1
189,0,0,0,0,0,0,0,0,1,1,0,1
182,1,0,0,0,0,0,0,0,1,1,0,1
224,0,0,0,0,0,0,0,0,1,1,0,1
86,0,0,0,0,0,0,0,0,1,1,0,1
134,0,0,0,0,0,0,0,0,1,1,0,1
81,0,0,0,0,0,0,0,0,1,1,0,1
56,0,0,0,0,1,0,0,0,1,1,0,1
62,0,0,0,0,1,0,0,1,1,1,0,1
28,0,0,0,0,1,0,0,0,1,1,0,1
51,0,1,0,0,0,0,0,0,1,1,0,1
84,1,0,0,0,0,0,0,0,1,1,0,1
73,0,1,0,0,0,0,0,0,0,0,1,4
231,0,1,0,0,0,0,0,0,0,0,1,4
196,1,0,0,0,0,0,0,0,0,0,1,4
65,0,0,0,0,1,0,0,0,0,0,1,4
67,0,0,0,0,1,0,0,0,0,0,1,4
251,1,0,0,0,0,0,0,0,0,0,1,4
112,0,0,0,0,0,1,0,0,0,0,1,4
58,0,0,0,0,1,0,0,0,0,0,1,4
29,0,0,0,0,1,0,0,0,0,0,1,4
142,0,1,0,0,0,0,0,0,0,0,1,4
193,0,0,0,0,1,0,0,0,0,0,1,4
75,0,0,0,0,1,0,0,0,0,0,1,4
19,1,1,0,0,0,0,0,0,0,0,1,4
104,0,1,0,0,0,0,0,0,0,0,1,4
78,0,0,0,0,1,0,0,0,0,0,1,4
91,0,1,0,0,0,0,0,0,0,0,1,4
76,0,1,0,0,0,0,0,0,0,0,1,4
31,0,0,0,0,1,0,0,0,1,0,2,0
140,0,1,0,0,0,0,0,0,1,0,2,0
105,1,1,0,0,0,1,0,0,1,0,2,0
115,0,1,0,0,0,0,0,0,1,0,2,0
116,0,0,0,1,1,1,1,0,1,0,2,0
186,0,1,0,0,0,0,0,0,1,0,2,0
261,0,1,0,0,0,0,0,0,1,0,2,0
43,0,0,0,0,1,0,0,0,1,0,2,0
41,0,0,0,0,1,0,0,0,1,0,2,0
262,1,0,0,0,1,1,1,1,1,0,2,0
158,0,0,0,0,0,0,0,0,0,1,3,2
219,0,0,0,0,1,0,0,1,0,1,3,2
34,0,0,0,0,0,0,0,0,0,1,3,2
216,0,0,0,0,0,0,0,0,0,1,3,2
46,0,0,0,0,1,1,0,0,0,1,3,2
212,0,1,0,0,1,1,1,0,1,1,3,2
32,0,1,0,0,1,0,0,0,0,1,3,2
57,0,0,0,0,0,0,0,0,0,1,3,2
23,0,0,0,0,0,0,0,0,0,1,3,2
20,0,0,0,0,0,0,0,0,0,1,3,2
258,0,0,0,0,0,0,0,0,0,1,3,2
98,0,1,0,0,0,1,0,0,0,1,3,2
37,0,0,0,0,0,0,0,0,0,1,3,2
70,0,0,0,0,1,0,0,0,0,1,3,2
226,0,0,0,0,0,0,0,0,0,1,3,2
68,0,1,0,0,1,1,1,1,1,1,3,2
198,0,0,0,0,0,0,0,0,0,1,3,2
17,0,0,0,0,0,0,0,0,0,1,3,2
21,0,0,0,0,0,0,0,0,0,1,3,2
39,0,1,0,1,0,1,0,0,0,1,3,2
243,0,0,0,0,0,0,0,0,1,0,4,3
244,0,0,0,0,0,0,0,0,1,0,4,3
225,0,0,0,0,0,0,0,0,1,0,4,3
200,0,0,0,0,0,0,0,0,1,0,4,3
